"cnt","sumnof","sumnoa","minbn","maxbn","received_time","run_id"
8,800,800,1007,1008,"2022-07-19 10:26:43+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
1,200,200,78,78,"2022-07-23 19:40:12+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-10-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
8,800,800,1111,1112,"2022-07-19 10:27:35+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
8,800,800,49,50,"2022-07-19 10:16:51+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
3,1500,1500,690,690,"2022-07-19 11:05:19+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
3,6000,6000,199,210,"2022-07-19 11:30:17+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
3,6000,6000,14,15,"2022-07-19 11:25:09+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
3,6000,6000,481,489,"2022-07-19 11:51:37+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
3,1500,1500,582,582,"2022-07-19 11:03:04+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
3,300,300,269,269,"2022-07-24 14:22:38+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
3,6000,6000,489,514,"2022-07-19 11:52:12+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
31,0,0,565,580,"2022-07-19 18:37:04+02","4000000-quorumConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-1"
15,0,0,1125,1139,"2022-07-19 18:46:23+02","4000000-quorumConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-1"
