"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id"
"2022-09-10 23:59:03+02","2022-09-11 00:04:24+02",7891,1662847143,1662847464,321,24.582554517133957,1.3788109842659256e+16,1.3788435483378752e+16,173.12848181472563,229.84,101.83,33.54247399038581,1125.0975613957085,6398,0,0,6741,1,"4000000-diemConfiguration-keyvalue-get-40-flalv-rn-1-final16peers-repid-3-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 20:38:52+02","2022-09-10 20:44:01+02",11313,1662835132,1662835441,309,36.61165048543689,1.377609928495984e+16,1.3776412332838454e+16,129.3025846371431,223.63,11.07,48.8052664036657,2381.9540287327795,6377,0,0,5236,1,"4000000-diemConfiguration-keyvalue-set-40-flalv-rn-1-final16peers-repid-1-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 22:16:10+02","2022-09-10 22:21:20+02",11772,1662840970,1662841280,310,37.9741935483871,1.3781937350605514e+16,1.3782251918489056e+16,123.80100322799858,265.65,7.14,64.3158621895586,4136.530129186293,6696,0,0,7433,1,"4000000-diemConfiguration-keyvalue-set-40-flalv-rn-1-final16peers-repid-2-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 23:51:53+02","2022-09-10 23:57:07+02",11627,1662846713,1662847027,314,37.02866242038217,1.3787679558998988e+16,1.3787998415188188e+16,122.69723230411974,239.99,7.46,53.443519091364564,2856.2097328690484,6925,0,0,7156,1,"4000000-diemConfiguration-keyvalue-set-40-flalv-rn-1-final16peers-repid-3-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 21:26:00+02","2022-09-10 21:31:21+02",2214,1662837960,1662838281,321,6.897196261682243,1.3778926867299246e+16,1.377924918618987e+16,290.3439521228545,318.66,252.4,17.13412962672712,293.57839806548805,12284,0,0,1913,1,"4000000-diemConfiguration-sb-balance-40-flalv-rn-1-final16peers-repid-1-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 23:01:50+02","2022-09-10 23:06:56+02",3645,1662843710,1662844016,306,11.911764705882353,1.3784677373641204e+16,1.3784987863572096e+16,186.5453031550068,251.2,116.16,28.247664066066708,797.9305251893563,10881,0,0,2094,1,"4000000-diemConfiguration-sb-balance-40-flalv-rn-1-final16peers-repid-2-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-11 00:38:16+02","2022-09-11 00:43:05+02",3589,1662849496,1662849785,289,12.418685121107266,1.3790463188077852e+16,1.3790752779677552e+16,197.79276678740595,245.43,150.01,31.33092058103865,981.6265844553513,7676,0,0,2775,1,"4000000-diemConfiguration-sb-balance-40-flalv-rn-1-final16peers-repid-3-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 21:11:41+02","2022-09-10 21:17:11+02",13400,1662837101,1662837431,330,40.60606060606061,1.377806759129438e+16,1.3778401819744398e+16,118.58010522388054,272.02,7.76,50.94086457510658,2594.971683659349,5959,0,0,8182,1,"4000000-diemConfiguration-sb-createAccount-40-flalv-rn-1-final16peers-repid-1-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 22:48:11+02","2022-09-10 22:53:29+02",13022,1662842891,1662843209,318,40.9496855345912,1.3783857849605656e+16,1.3784177416672364e+16,119.34709645215791,263.53,16.27,56.965798106532354,3245.1021539142052,6735,0,0,7754,1,"4000000-diemConfiguration-sb-createAccount-40-flalv-rn-1-final16peers-repid-2-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-11 00:24:56+02","2022-09-11 00:30:22+02",13970,1662848696,1662849022,326,42.852760736196316,1.3789662722720054e+16,1.3789990341956352e+16,120.92831782390839,212.36,10.1,52.42815961717453,2748.71192084393,5286,0,0,7596,1,"4000000-diemConfiguration-sb-createAccount-40-flalv-rn-1-final16peers-repid-3-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 21:18:55+02","2022-09-10 21:24:13+02",6482,1662837535,1662837853,318,20.38364779874214,1.3778502405385544e+16,1.3778825047790954e+16,206.88711200246826,268.14,99.24,29.620309782354337,877.362751602636,8939,0,0,4957,1,"4000000-diemConfiguration-sb-sendPayment-40-flalv-rn-1-final16peers-repid-1-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 22:54:55+02","2022-09-10 23:00:13+02",3949,1662843295,1662843613,318,12.418238993710691,1.3784261738427648e+16,1.3784584743082476e+16,258.4742314510003,291.55,214.82,17.09408350955159,292.2076910315236,10896,0,0,3056,1,"4000000-diemConfiguration-sb-sendPayment-40-flalv-rn-1-final16peers-repid-2-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-11 00:31:37+02","2022-09-11 00:36:19+02",3365,1662849097,1662849379,282,11.932624113475176,1.3790063679092808e+16,1.3790351023952656e+16,208.89379791976225,264.1,125.04,41.517533078589864,1723.7055529318034,8693,0,0,2405,1,"4000000-diemConfiguration-sb-sendPayment-40-flalv-rn-1-final16peers-repid-3-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-09 11:08:21+02","2022-09-09 11:14:52+02",620500,1662714501,1662714892,391,1586.9565217391305,1.3655468380955108e+16,1.365586355610499e+16,1.215527784045156,2.09,0.32,0.3228566871524714,0.10423644043906881,486196,0,0,156100,1,"4000000-grapheneConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-1-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 13:19:59+02","2022-09-09 13:26:29+02",621600,1662722399,1662722789,390,1593.8461538461538,1.3663365714552634e+16,1.3663758886762348e+16,1.190809475546999,2.03,0.37,0.32307601521316576,0.10437811160601772,485096,0,0,156300,1,"4000000-grapheneConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-2-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 15:31:21+02","2022-09-09 15:37:52+02",619500,1662730281,1662730672,391,1584.398976982097,1.3671248455290302e+16,1.3671641821839798e+16,1.149222276029066,2.2,0.31,0.3244823748561016,0.10528881159225562,486697,0,0,156100,1,"4000000-grapheneConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-3-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 11:56:10+02","2022-09-09 12:02:11+02",503422,1662717370,1662717731,361,1394.5207756232687,1.3658336963283278e+16,1.365870278282202e+16,40.45656699548338,82.31,3.86,20.742124201644234,430.2357163964354,196967,0,0,129068,1,"4000000-grapheneConfiguration-keyvalue-get-40-flalv-rn-1-final16peers-repid-1-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 14:06:02+02","2022-09-09 14:12:49+02",491304,1662725162,1662725569,407,1207.1351351351352,1.3666129101519164e+16,1.3666535580222968e+16,41.609367194242495,82.56,1.15,21.14153556927483,446.9645262269127,205034,0,0,129088,1,"4000000-grapheneConfiguration-keyvalue-get-40-flalv-rn-1-final16peers-repid-2-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 16:18:20+02","2022-09-09 16:25:04+02",504227,1662733100,1662733504,404,1248.0866336633662,1.3674067468871976e+16,1.3674475854734032e+16,41.2508005521324,81.93,0.68,21.100372560373838,445.2257221865772,198224,0,0,131509,1,"4000000-grapheneConfiguration-keyvalue-get-40-flalv-rn-1-final16peers-repid-3-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 11:41:58+02","2022-09-09 11:48:22+02",557550,1662716518,1662716902,384,1451.953125,1.3657485487995182e+16,1.365786930384646e+16,19.958985454219057,98.09,0.72,21.657960433074887,469.0672501206373,189497,0,0,149200,1,"4000000-grapheneConfiguration-keyvalue-set-40-flalv-rn-1-final16peers-repid-1-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 13:52:08+02","2022-09-09 13:58:51+02",532050,1662724328,1662724731,403,1320.2233250620347,1.3665294727464724e+16,1.366569827907462e+16,27.014848266140394,99.11,1.43,25.158675884415445,632.9589722570673,200200,0,0,147050,1,"4000000-grapheneConfiguration-keyvalue-set-40-flalv-rn-1-final16peers-repid-2-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 16:04:40+02","2022-09-09 16:11:22+02",548550,1662732280,1662732682,402,1364.55223880597,1.3673247632129196e+16,1.367365364770058e+16,27.704812542156834,98.01,2,24.498487664709796,600.175897857938,187248,0,0,147500,1,"4000000-grapheneConfiguration-keyvalue-set-40-flalv-rn-1-final16peers-repid-3-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 12:22:28+02","2022-09-09 12:28:58+02",613450,1662718948,1662719338,390,1572.948717948718,1.3659915391104212e+16,1.3660309638378476e+16,3.297875735593764,6.73,0.72,0.9736859726074012,0.9480643732524209,167647,0,0,155550,1,"4000000-grapheneConfiguration-sb-createAccount-40-flalv-rn-1-final16peers-repid-1-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
"2022-09-09 14:32:02+02","2022-09-09 14:38:30+02",615550,1662726722,1662727110,388,1586.4690721649486,1.3667688952515442e+16,1.3668080323663828e+16,3.3025692795061454,6.9,0.75,0.9925908312658879,0.9852365583131062,167848,0,0,155250,1,"4000000-grapheneConfiguration-sb-createAccount-40-flalv-rn-1-final16peers-repid-2-graphene-rl-opti-bi-opti-opt-opti-notpc-opti"
